id,object_id,valuation_amount,raised_amount,public_at,stock_symbol,source_description,created_at,updated_at,ipo_year,ipo_month
344,c:5108,337000000.0,0.0,2010-05-13,TNAV,,2010-06-22 17:18:55,2010-06-23 05:13:08,2010,5
347,c:1249,11003200.0,0.0,2010-06-22,VRNG,,2010-06-25 23:12:39,2010-06-25 23:12:39,2010,6
349,c:1680,0.0,1000000000.0,2010-07-09,NASDAQ:TSLA,Tesla Has A Fresh $1 Billion  And Lots of Ways To Spend It,2010-06-30 21:43:16,2013-05-20 03:12:45,2010,7
350,c:4967,0.0,0.0,1999-07-01,NASDAQ:TIBX,,2010-07-01 20:36:58,2013-09-19 05:09:20,1999,7
351,c:36317,0.0,0.0,2010-02-03,NASDAQ:IRWD,,2010-07-02 16:56:50,2010-07-02 16:56:50,2010,2
352,c:3052,140000000.0,0.0,2010-01-11,NASDAQ:QNST,,2010-07-02 17:07:30,2010-07-20 01:43:04,2010,1
353,c:548,0.0,0.0,2010-05-19,NASDAQ:RLOC,,2010-07-02 17:27:38,2011-01-27 02:44:39,2010,5
354,c:37515,395822000.0,0.0,2010-06-18,NASDAQ:VLTC,,2010-07-02 17:37:34,2013-04-22 03:07:01,2010,6
356,c:3407,0.0,0.0,2010-06-25,NASDAQ:BSFT,,2010-07-02 20:02:34,2010-07-02 20:02:34,2010,6
357,c:45890,0.0,0.0,2010-06-29,NASDAQ:HSFT,,2010-07-02 20:05:37,2010-07-02 20:05:37,2010,6
358,c:50801,0.0,0.0,2010-05-14,NASDAQ:KONE,,2010-07-02 20:10:06,2010-07-02 20:10:06,2010,5
359,c:25187,0.0,0.0,2010-04-21,NASDAQ:ALIM,,2010-07-02 20:18:49,2010-07-02 20:18:49,2010,4
360,c:26544,0.0,0.0,2010-04-22,NASDAQ:DVOX,,2010-07-02 20:21:48,2010-07-02 20:21:48,2010,4
361,c:46074,0.0,0.0,2010-04-21,CDXS,,2010-07-02 20:22:37,2010-07-02 20:22:37,2010,4
362,c:43594,0.0,0.0,2010-04-09,NASDAQ:TNGN,,2010-07-02 20:23:53,2010-07-02 20:23:53,2010,4
363,c:50803,0.0,0.0,2010-04-01,NASDAQ:SPSC,,2010-07-02 20:28:57,2010-07-02 20:28:57,2010,4
364,c:28360,0.0,0.0,2010-03-11,AVEO,,2010-07-02 20:32:59,2010-07-02 20:32:59,2010,3
372,c:8530,1000000000.0,0.0,2010-07-16,QLIK,,2010-07-16 14:13:16,2011-12-20 11:01:28,2010,7
373,c:9054,0.0,0.0,2001-03-23,NYSE:SI,,2010-07-20 02:59:58,2012-04-12 04:18:30,2001,3
379,c:52209,0.0,0.0,2005-08-04,NASDAQ:CHTP,,2010-07-21 02:54:58,2013-11-19 06:24:41,2005,8
381,c:52213,0.0,0.0,2009-05-22,OTC:SNTI,,2010-07-21 03:31:24,2013-10-01 12:29:51,2009,5
390,c:29580,180000000.0,0.0,2010-08-12,RP,,2010-08-13 00:13:42,2010-08-13 00:13:42,2010,8
393,c:35247,0.0,0.0,2010-07-22,GDOT,,2010-08-13 21:18:04,2010-08-13 21:18:18,2010,7
394,c:33792,139000000.0,0.0,2007-03-15,NASDAQ: BBND,,2010-08-17 00:29:58,2010-08-17 00:29:58,2007,3
395,c:54506,0.0,0.0,2007-11-16,NYSE:PAR,,2010-08-17 02:04:38,2011-07-23 22:13:16,2007,11
396,c:28250,0.0,0.0,2007-08-01,NASDAQ:MELI,,2010-08-18 22:34:48,2010-08-18 22:34:48,2007,8
402,c:30538,642200000.0,0.0,2010-08-06,IL,,2010-08-28 15:16:33,2010-08-30 19:46:52,2010,8
403,c:54217,0.0,0.0,2010-05-01,RVUE,,2010-08-29 19:51:53,2010-08-30 22:08:35,2010,5
406,c:5990,0.0,957000000.0,2007-08-14,NYSE:VMW,VMware Raises $957M in IPO,2010-09-06 07:05:11,2013-08-26 10:19:18,2007,8
409,c:55987,0.0,10000000.0,2013-05-30,NASDAQ:ONTY,"Oncothyreon Nabs $10M, Pays $10M, For Array Biopharma Cancer Drug",2010-09-07 02:21:50,2013-05-31 06:52:55,2013,5
420,c:29567,0.0,0.0,1986-10-03,NASDAQ:FISV,,2010-09-15 06:15:40,2012-04-16 03:14:29,1986,10
430,c:25248,0.0,0.0,1994-01-03,NASDAQ:FLIR,,2010-10-05 02:29:00,2012-04-10 04:09:37,1994,1
434,c:58207,0.0,0.0,1990-01-02,NYSE:ARW,,2010-10-06 05:51:31,2013-10-29 03:19:19,1990,1
441,c:9636,117900.0,0.0,2005-02-16,1254,,2010-10-08 14:45:26,2010-11-02 15:13:31,2005,2
444,c:26973,275000000.0,0.0,2010-09-16,ELT,,2010-10-13 12:33:31,2010-10-13 12:33:31,2010,9
451,c:25020,0.0,0.0,1990-07-27,NASDAQ:TRMB,,2010-10-27 02:21:58,2012-04-16 03:47:09,1990,7
454,c:60142,0.0,0.0,2010-10-25,SLTD,,2010-10-27 11:10:35,2010-10-27 11:10:35,2010,10
467,c:590,0.0,0.0,1999-11-26,NYSE:T,,2010-11-18 09:29:47,2010-11-18 09:29:47,1999,11
468,c:1197,0.0,0.0,1985-04-26,NYSE:BBY,,2010-11-18 10:48:34,2012-04-16 03:43:25,1985,4
472,c:5744,0.0,0.0,2001-07-27,NYSE:ACN,,2010-11-22 04:47:15,2012-04-12 03:54:56,2001,7
474,c:8750,0.0,0.0,1999-07-02,NYSE:JNPR,,2010-11-22 05:06:08,2012-04-16 02:50:28,1999,7
485,c:350,0.0,0.0,1993-03-04,NASDAQ:IACI,,2010-12-01 12:27:52,2012-11-05 21:34:54,1993,3
486,c:24597,0.0,0.0,2007-07-18,DHX,,2010-12-06 04:26:01,2010-12-06 04:26:01,2007,7
489,c:1448,0.0,0.0,2010-12-08,NYSE:YOKU,,2010-12-08 17:27:30,2010-12-08 17:28:33,2010,12
493,c:42276,0.0,0.0,2012-05-21,NYSE:LYV,,2010-12-11 12:10:47,2013-11-13 04:05:59,2012,5
